"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"1462","4.1_a",2073004.21928087,2390157.42276845,2734427.16484429,3094154.73211149,3482049.54846635,3901506.00692965,4355010.1990782,4843933.25737034,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",26874242.5508496,3512.51560082124,8940.68747956558
"1463","4.2_a",106517.299203947,122701.162364573,140169.272210754,158582.711490361,178275.215199796,199356.866402581,221976.129424798,246291.332230608,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",1373869.98852742,328.634252132351,4890.48209585421
"1464","4.2_b",75911.4547194863,85743.4464856673,95874.8632695867,106284.030196723,116974.589501513,127953.27755746,139237.845072748,150857.269707033,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",898836.776510217,328.634252132351,3257.41168143301
"1465","4.3_a",79313.1807737799,93086.0873177724,107815.452599919,123206.142666114,139569.649854021,156962.072432344,175410.473504932,194906.757611402,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",1070269.81676028,935.154790500845,1319.60077918505
"1466","4.4_a",356481.793897726,419658.898870852,488321.520677541,560417.806300436,638290.481815811,722627.434562213,813921.947389329,912441.418162536,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",4912161.30167644,7273.61169197108,776.222319749653
"1467","1.2_a",45662868.7115538,47061463.1927876,48511196.919532,49912246.5147054,51345928.7048809,52826008.1274392,54365822.1910023,55970344.3608567,"Baseline","Brazil","UMIC","Latin America and Caribbean",405655878.722758,123.742369499006,4320904.58487028
"1468","2.14_a",62536646.0433535,64340093.3853581,66205937.8928335,68006969.9581089,69846049.8911846,71742708.5902631,73716758.8941501,75776335.2879292,"Baseline","Brazil","UMIC","Latin America and Caribbean",552171499.943181,46.4707924810057,15697865.0042907
"1469","2.14_b",254184466.272998,254148696.750045,254063934.127925,253821702.111169,253554210.703172,253224357.366868,252799972.972871,252311604.033259,"Baseline","Brazil","UMIC","Latin America and Caribbean",2028108944.33831,46.4707924810057,60047665.4897453
"1470","2.3_a",104947526.661217,107775052.437449,110671718.968625,113419698.69926,116203175.750698,119035016.221432,121926875.293792,124879603.226312,"Baseline","Brazil","UMIC","Latin America and Caribbean",918858667.258785,13.7096577101636,88798712.6257211
"1471","2.3_b",5171291.87500454,5263504.99951642,5356179.80376763,5444559.92653275,5532466.42203219,5619930.01040995,5706755.88020295,5792496.13862125,"Baseline","Brazil","UMIC","Latin America and Caribbean",43887185.0560877,13.7096577101636,4292588.82164965
"1472","2.3_c",8442060447.53468,8669508814.15483,8902518916.73183,9123568537.74399,9347473590.77512,9575269034.76767,9807892421.6286,10045412146.814,"Baseline","Brazil","UMIC","Latin America and Caribbean",73913703910.1507,1378.51937518531,71038970.1005769
