"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"176","Paraguay","UMIC","Latin America and Caribbean","PRY","Latin America and Caribbean","UMIC","Baseline",61158474.1929759,62685171.7405617,64215446.9825939,65841569.4955293,67440479.3982544,69015113.7072895,70567627.3373438,72100120.6675278,533024003.522076
"177","Peru","UMIC","Latin America and Caribbean","PER","Latin America and Caribbean","UMIC","Adjusted",75191.6088760293,83378.5678383036,91891.8772672968,100832.50334731,110094.897642168,119691.894140203,129662.33575716,140016.586018163,850760.270886634
"178","Peru","UMIC","Latin America and Caribbean","PER","Latin America and Caribbean","UMIC","Baseline",69127.7694505431,70834.768549431,72552.9989449672,74352.8915427573,76147.9484906119,77948.2461458459,79777.5813658731,81638.022355523,602380.226845553
"179","Philippines","LMIC","East and South East Asia","PHL","East and South East Asia","LMIC","Adjusted",1513832833.69461,1738269453.49865,1978796101.15379,2231490458.52783,2501693569.2142,2789439120.20336,3093301725.66157,3412652534.77107,19259475796.7251
"180","Philippines","LMIC","East and South East Asia","PHL","East and South East Asia","LMIC","Baseline",1354898174.99543,1399699188.09447,1446615874.95671,1491979434.26055,1539471883.80435,1588553377.37529,1638072432.83338,1687573797.97104,12146864164.2912
"181","Romania","UMIC","Central and Eastern Europe","ROU","Central and Eastern Europe","UMIC","Adjusted",1331774013.14143,1444509665.79611,1559494394.8155,1685949714.33698,1813578950.86732,1942361620.1025,2070786869.5443,2197947482.48228,14046402711.0864
"182","Romania","UMIC","Central and Eastern Europe","ROU","Central and Eastern Europe","UMIC","Baseline",1232537744.38365,1238470204.93835,1243029413.70456,1252918081.39202,1260254528.61322,1265757756.72344,1270260525.33116,1274156810.73439,10037385065.8208
"183","Russian Federation","UMIC","Central and Eastern Europe","RUS","Central and Eastern Europe","UMIC","Adjusted",3978866627.95046,4321112653.01393,4667801449.59208,5030290940.39349,5393990446.08474,5762489644.36738,6136244564.37572,6513351262.51884,41804147588.2966
"184","Russian Federation","UMIC","Central and Eastern Europe","RUS","Central and Eastern Europe","UMIC","Baseline",3674554292.64249,3701695960.77747,3725534505.04724,3754775449.80245,3778168567.74018,3799081235.15393,3819682153.08888,3840082721.6834,30093574885.936
"185","Rwanda","LIC","Sub-Saharan Africa","RWA","Sub-Saharan Africa","LIC","Adjusted",1108.66315170823,1349.94263582735,1610.17148877738,1891.04163729588,2191.62768263232,2511.78098519187,2851.38150723527,3210.09296013484,16724.7020488031
"186","Rwanda","LIC","Sub-Saharan Africa","RWA","Sub-Saharan Africa","LIC","Baseline",929.846514335937,973.709965751,1018.62325927709,1065.15679195855,1112.38821177895,1160.076345805,1208.07343519979,1256.19383541623,8724.06835952255
"187","Senegal","LIC","Sub-Saharan Africa","SEN","Sub-Saharan Africa","LIC","Adjusted",18854555.1740273,23564065.3770268,28544795.2734143,33850762.5009515,39463073.6912392,45391763.5341754,51642552.3927803,58223349.6327261,299534917.576341
"188","Senegal","LIC","Sub-Saharan Africa","SEN","Sub-Saharan Africa","LIC","Baseline",14877520.0834632,15343089.1505924,15820552.5268865,16329611.2942629,16851456.6132127,17386028.3397691,17932026.219748,18489807.4186079,133030091.646543
"189","Serbia","UMIC","Central and Eastern Europe","SRB","Central and Eastern Europe","UMIC","Adjusted",346406762.468646,376698652.41444,407580322.403195,442170311.726581,477021343.520994,512068955.466714,547195212.63303,581995612.962037,3691137173.59564
"190","Serbia","UMIC","Central and Eastern Europe","SRB","Central and Eastern Europe","UMIC","Baseline",319038143.074198,320296712.792007,321222887.139904,324052391.911083,326143643.320484,327684064.705381,328860741.94959,329761301.271074,2597059886.16372
